bootstrap_id,mae,rmse,r2
274,2.338096312316225,2.86999109296898,0.020620076661929665
275,2.2530764051883865,2.7835483383929396,0.023526103039125723
276,2.4889339261342713,3.0020240018220834,0.0009480105798440608
277,2.3039671256082017,2.8025653390056817,0.015525532792125762
278,2.471836223038343,3.0299379799497808,-0.009943396090493994
279,2.483993420245101,3.029578750434623,0.00826413298562556
280,2.306026804361972,2.838913056894089,0.005198117767912569
281,2.6024996609385322,3.109388481109972,0.0009527175746485428
282,2.4555862356390663,3.018132372994425,0.024011205031812755
283,2.5008169691057094,3.0611139090906065,0.004965625417471364
284,2.4418770983334164,2.9095802186025845,0.019218107285476016
285,2.38265504627875,2.9267966862283075,-0.02206625323222533
286,2.5236905157150127,3.025774029293359,0.010119131597980724
287,2.536709521793274,3.044758741105576,0.01160619414098596
288,2.267775899099588,2.7605282353795495,0.005745043246823012
289,2.3635275963091473,2.838098183969405,0.01958951654858565
290,2.3821606618675277,2.891842209084285,0.02814572585190045
291,2.4437131570040522,2.9679671744566423,0.008374559558352201
292,2.203624774375145,2.7320908648386952,-0.0011786325437193046
293,2.3578616037229687,2.924383138721553,0.003375592058500798
294,2.3479175800261554,2.8631419727941236,0.003969244032996144
295,2.4840930161627406,2.958745363791182,-0.01896562862912443
296,2.3027313278490444,2.848088483192451,0.007319167734460841
297,2.3813898558057267,2.9131321033157396,-0.004742380866127549
298,2.4135455871665314,2.920475521806474,-0.005170316805682695
299,2.3931237294869825,2.9010093172189375,0.02598020118895228
300,2.336902129717017,2.839992807508072,-0.00922593326850274
301,2.3967919561166777,2.9287515032112923,-0.012082595256093231
302,2.442837051812625,2.933424230682791,-0.0031267982292533247
303,2.2173340782035202,2.743626023372706,0.007546888195839152
304,2.4185450938663795,2.9739491122488615,0.00966535937446511
305,2.376082419121085,2.8907322223132317,0.018863577172403723
306,2.4286144809888244,2.885825510617929,-0.002399276466602984
307,2.408681656980989,2.9142100448160524,0.007861794890566154
